"MUNID","CODEID","SEGMENT","TYPE","GENERIQUE","LIAISON","SPECIFIQUE","DIRECTION","NOM_TOPO","COTE","ORIENTATIO","DIREC_UNIQ","CIV_GAU_DE","CIV_GAU_A","CIV_DRT_DE","CIV_DRT_A","LIMITE_VIT","HIERARCHI","ENTITEID","GEOM"
"81017","8047","","Standard","Rue","","Saint-Louis","","Rue Saint-Louis","","","Oui","0","0","0","0","50","Collectrice principale","{7F7A029C-A38D-4EA4-B43F-3AF910B15B58}","LINESTRING (-75.711911 45.460644,-75.71198431654831 45.46062946843278,-75.71205669195434 45.46061279207194,-75.712128 45.460594,-75.71218557616149 45.460576710098834,-75.7122422651108 45.46055803609201,-75.712298 45.460538)"
"81017","7456","","Standard","Rue","","Blais","","Rue Blais","","","Non","21","21","0","0","40","Rue locale","{BCB1EBFF-1303-4774-AF7C-A5CEB0C67B3E}","LINESTRING (-75.711911 45.460644,-75.71194000927707 45.46070010196216,-75.71196305138639 45.460757540263636,-75.71198 45.460816,-75.712105 45.461493)"
"81017","204","","Cul-de-sac carré","Rue","","Biehler","","Rue Biehler","","","Non","11","41","12","48","40","Rue locale","{3FC6563A-724E-4020-BD62-29DB880C0195}","LINESTRING (-75.426986 45.583738,-75.427963 45.584667,-75.42804828818092 45.584739383675945,-75.42815155072157 45.58479911396906,-75.428269 45.584844,-75.428998 45.585036)"
"81017","219","","Cul-de-sac carré","Rue","de la","Ferme","","Rue de la Ferme","","","Non","8","26","9","19","40","Rue locale","{15F8EE42-41D7-43D9-B533-15E6344F1F36}","LINESTRING (-75.426986 45.583738,-75.427082 45.583581,-75.427192 45.583382,-75.42725536932495 45.58330570805606,-75.42735085240993 45.583248279823785,-75.427468 45.583216,-75.428449 45.583145)"
"81017","4741","","Standard","Rue","","Richelieu","","Rue Richelieu","","","Non","65","65","0","0","40","Rue locale","{3316B7AB-5697-4C3E-92EB-540C884AF833}","LINESTRING (-75.739182 45.437352,-75.739184 45.438035)"
"81017","4742","","Standard","Rue","","Dumas","","Rue Dumas","","","Non","131","151","132","152","40","Collectrice secondaire","{FECCA77E-88F7-4F7C-A129-22E4EAC8F3BD}","LINESTRING (-75.739182 45.437352,-75.741145 45.437336)"
"81017","4552","","Standard","Boulevard","","Moussette","","Boulevard Moussette","","","Oui","0","0","91","91","50","Collectrice principale","{ECD6180A-799A-4417-8968-9368C4A4B0E3}","LINESTRING (-75.743775 45.441346,-75.743692 45.440674)"
"81017","4488","","Standard","Rue","","Sainte-Marie","","Rue Sainte-Marie","","","Non","165","195","166","190","40","Rue locale","{365AC23D-9EFF-457B-B651-4DED79135056}","LINESTRING (-75.743775 45.441346,-75.747179 45.441256)"
"81017","143","","Standard","Rue","","Bélanger","","Rue Bélanger","","","Non","568","578","563","577","40","Collectrice secondaire","{D5051FDD-8B6D-4138-AC08-8B7B48713943}","LINESTRING (-75.412294 45.58627,-75.412141 45.585717)"
"81017","4759","","Standard","Rue","de l'","Atmosphère","","Rue de l'Atmosphère","","","Non","201","209","0","0","40","Collectrice secondaire","{5FAB50B9-D6E7-4C04-8CE8-C75468DBCED5}","LINESTRING (-75.785812 45.437938,-75.786574 45.437495)"
